-1.09465 -0.24490 -0.08163 
-1.12397 -0.24490  0.08163 
-1.09179 -0.08163 -0.24490 
-1.04728 -0.08163 -0.08163 
-1.10276 -0.08163  0.08163 
-1.08579 -0.08163  0.24490 
-1.07866  0.08163 -0.24490 
-1.04611  0.08163 -0.08163 
-1.13080  0.08163  0.08163 
-1.09412  0.08163  0.24490 
-1.10484  0.24490 -0.08163 
-1.12643  0.24490  0.08163 
-0.88692 -0.57143 -0.24490 
-0.92476 -0.57143 -0.08163 
-0.94118 -0.57143  0.08163 
-0.95780 -0.57143  0.24490 
-0.88667 -0.40816 -0.40816 
-0.94086 -0.40816 -0.24490 
-0.95356 -0.40816 -0.08163 
-0.87016 -0.40816  0.08163 
-0.93145 -0.40816  0.24490 
-0.91467 -0.40816  0.40816 
-0.89610 -0.24490 -0.57143 
-0.91560 -0.24490 -0.40816 
-0.95652 -0.24490 -0.24490 
-0.85785 -0.24490 -0.08163 
-0.92418 -0.24490  0.08163 
-0.93709 -0.24490  0.24490 
-0.85121 -0.24490  0.40816 
-0.94504 -0.24490  0.57143 
-0.95952 -0.08163 -0.57143 
-0.92228 -0.08163 -0.40816 
-0.92689 -0.08163 -0.24490 
-0.92636 -0.08163 -0.08163 
-0.94171 -0.08163  0.08163 
-0.94372 -0.08163  0.24490 
-0.93093 -0.08163  0.40816 
-0.95210 -0.08163  0.57143 
-0.90258  0.08163 -0.57143 
-0.95736  0.08163 -0.40816 
-0.90341  0.08163 -0.24490 
-0.86439  0.08163 -0.08163 
-0.89113  0.08163  0.08163 
-0.92316  0.08163  0.24490 
-1.00049  0.08163  0.40816 
-0.99167  0.08163  0.57143 
-0.98442  0.24490 -0.57143 
-0.86361  0.24490 -0.40816 
-0.94315  0.24490 -0.24490 
-0.95000  0.24490 -0.08163 
-0.92064  0.24490  0.08163 
-0.89721  0.24490  0.24490 
-0.97419  0.24490  0.40816 
-0.96141  0.24490  0.57143 
-0.91446  0.40816 -0.40816 
-0.92613  0.40816 -0.24490 
-0.92018  0.40816 -0.08163 
-0.92857  0.40816  0.08163 
-0.91401  0.40816  0.24490 
-0.94199  0.40816  0.40816 
-0.94267  0.57143 -0.24490 
-0.93738  0.57143 -0.08163 
-0.91464  0.57143  0.08163 
-0.92780  0.57143  0.24490 
-0.70954 -0.73469 -0.24490 
-0.79450 -0.73469 -0.08163 
-0.74032 -0.73469  0.08163 
-0.79129 -0.73469  0.24490 
-0.73632 -0.57143 -0.57143 
-0.75517 -0.57143 -0.40816 
-0.81468 -0.57143 -0.24490 
-0.75676 -0.57143 -0.08163 
-0.71620 -0.57143  0.08163 
-0.73641 -0.57143  0.24490 
-0.71711 -0.57143  0.40816 
-0.74595 -0.57143  0.57143 
-0.79237 -0.40816 -0.57143 
-0.77117 -0.40816 -0.40816 
-0.71717 -0.40816  0.40816 
-0.70123 -0.40816  0.57143 
-0.74563 -0.24490 -0.73469 
-0.76510 -0.24490 -0.57143 
-0.70667 -0.24490  0.57143 
-0.74908 -0.24490  0.73469 
-0.78485 -0.08163 -0.73469 
-0.79450 -0.08163 -0.57143 
-0.74762 -0.08163  0.57143 
-0.70110 -0.08163  0.73469 
